naxos movie title,movie title,imdb movie title,year,genre
Inferno (1980),Inferno,Inferno,1980,Horror
Nijinsky (1980),Nijinsky,Nijinsky,1980,"Biography,Drama,Music"
Ordinary People (1980),Ordinary People,Ordinary People,1980,Drama
Private Benjamin (1980),Private Benjamin,Private Benjamin,1980,"Comedy,War"
Raging Bull (1980),Raging Bull,Raging Bull,1980,"Biography,Drama,Sport"
Shining (The) (1980),Shining,The Shining,1980,"Drama,Horror"
Somewhere in Time (1980),Somewhere in Time,Somewhere in Time,1980,"Drama,Fantasy,Romance"
Stardust Memories (1980),Stardust Memories,Stardust Memories,1980,"Comedy,Drama"
Arthur (1981),Arthur,Arthur,1981,"Comedy,Romance"
Diva (1981),Diva,Diva,1981,"Music,Thriller"
Escape from New York (1981),Escape from New York,Escape from New York,1981,"Action,Adventure,Sci-Fi"
Excalibur (1981),Excalibur,Excalibur,1981,"Adventure,Drama,Fantasy"
French Lieutenant's Woman (The) (1981),French Lieutenant's Woman,The French Lieutenant's Woman,1981,"Drama,Romance"
Gallipoli (1981),Gallipoli,Gallipoli,1981,"Adventure,Drama,History"
Inheritors (The) (1983),Inheritors,The Inheritors,1983,Drama
Fanny and Alexander (1982),Fanny and Alexander,Fanny and Alexander,1982,Drama
Frances (1982),Frances,Frances,1982,"Biography,Drama,Romance"
Heat and Dust (1983),Heat and Dust,Heat and Dust,1983,"Drama,Romance"
Sophie's Choice (1982),Sophie's Choice,Sophie's Choice,1982,"Drama,Romance"
"Yes, Giorgio (1982)","Yes, Giorgio","Yes, Giorgio",1982,"Comedy,Musical"
Educating Rita (1983),Educating Rita,Educating Rita,1983,"Comedy,Drama"
Exposed (1983),Exposed,Exposed,1983,"Drama,Music"
Flashdance (1983),Flashdance,Flashdance,1983,"Drama,Music,Romance"
Gorky Park (1983),Gorky Park,Gorky Park,1983,"Crime,Drama,Mystery"
Hunger (The) (1983),Hunger,The Hunger,1983,"Drama,Horror"
Octopussy (1983),Octopussy,Octopussy,1983,"Action,Adventure,Thriller"
Right Stuff (The) (1983),Right Stuff,The Right Stuff,1983,"Adventure,Biography,Drama"
Terms of Endearment (1983),Terms of Endearment,Terms of Endearment,1983,"Comedy,Drama"
Trading Places (1983),Trading Places,Trading Places,1983,Comedy
Year of Living Dangerously (The) (1982),Year of Living Dangerously,The Year of Living Dangerously,1982,"Drama,Romance,War"
Amadeus (1984),Amadeus,Amadeus,1984,"Biography,Drama,Music"
Company of Wolves (The) (1984),Company of Wolves,The Company of Wolves,1984,"Drama,Fantasy,Horror"
"Greystoke: The Legend of Tarzan, Lord of the Apes (1984)","Greystoke: The Legend of Tarzan, Lord of the Apes","Greystoke: The Legend of Tarzan, Lord of the Apes",1984,"Adventure,Drama"
Killing Fields (The) (1984),Killing Fields,The Killing Fields,1984,"Biography,Drama,History"
Moscow on the Hudson (1984),Moscow on the Hudson,Moscow on the Hudson,1984,"Comedy,Drama,Romance"
Nothing Lasts Forever (1984),Nothing Lasts Forever,Nothing Lasts Forever,1984,"Comedy,Drama,Fantasy"
Sixteen Candles (1984),Sixteen Candles,Sixteen Candles,1984,"Comedy,Romance"
This Is Spinal Tap (1984),This Is Spinal Tap,This Is Spinal Tap,1984,"Comedy,Music"
After Hours (1985),After Hours,After Hours,1985,"Comedy,Crime,Drama"
Brazil (1985),Brazil,Brazil,1985,"Drama,Sci-Fi"
Breakfast Club (The) (1985),Breakfast Club,The Breakfast Club,1985,"Comedy,Drama"
Colonel Redl (1985),Colonel Redl,Colonel Redl,1985,"Biography,Drama,History"
Out of Africa (1985),Out of Africa,Out of Africa,1985,"Biography,Drama,Romance"
Police (1985),Police,Police,1985,"Crime,Drama,Romance"
Police Academy 2: Their First Assignment (1985),Police Academy 2: Their First Assignment,Police Academy 2: Their First Assignment,1985,Comedy
Prizzi's Honor (1985),Prizzi's Honor,Prizzi's Honor,1985,"Comedy,Crime,Drama"
Re-Animator (1985),Re-Animator,Re-Animator,1985,"Comedy,Horror,Sci-Fi"
Runaway Train (1985),Runaway Train,Runaway Train,1985,"Action,Adventure,Drama"
Volunteers (1985),Volunteers,Volunteers,1985,"Adventure,Comedy"
Weird Science (1985),Weird Science,Weird Science,1985,"Comedy,Romance,Sci-Fi"
White Nights (1985),White Nights,White Nights,1985,"Drama,Music"
Children of a Lesser God (1986),Children of a Lesser God,Children of a Lesser God,1986,"Drama,Romance"
Color of Money (1986),Color of Money,The Color of Money,1986,"Drama,Sport"
Ferris Bueller's Day Off (1986),Ferris Bueller's Day Off,Ferris Bueller's Day Off,1986,Comedy
Half Moon Street (1986),Half Moon Street,Half Moon Street,1986,"Drama,Thriller"
Hannah and Her Sisters (1986),Hannah and Her Sisters,Hannah and Her Sisters,1986,"Comedy,Drama"
Head Office (1985),Head Office,Head Office,1985,Comedy
Heartburn (1986),Heartburn,Heartburn,1986,"Comedy,Drama"
Jean de Florette (1986),Jean de Florette,Jean de Florette,1986,"Comedy,Drama"
Mona Lisa (1986),Mona Lisa,Mona Lisa,1986,"Crime,Drama,Romance"
My Beautiful Laundrette (1985),My Beautiful Laundrette,My Beautiful Laundrette,1985,"Comedy,Drama,Romance"
Platoon (1986),Platoon,Platoon,1986,"Drama,War"
Whoopee Boys (The) (1986),Whoopee Boys,The Whoopee Boys,1986,"Comedy,Romance"
Amazon Women on the Moon (1987),Amazon Women on the Moon,Amazon Women on the Moon,1987,"Comedy,Sci-Fi"
And God Created Woman (1988),And God Created Woman,And God Created Woman,1988,"Comedy,Drama,Romance"
Babette's Feast (1987),Babette's Feast,Babette's Feast,1987,Drama
Barfly (1987),Barfly,Barfly,1987,"Comedy,Drama,Romance"
Best Seller (1987),Best Seller,Best Seller,1987,"Action,Crime,Drama"
Blind Date (1987),Blind Date,Blind Date,1987,"Comedy,Romance"
Castaway (1986),Castaway,Castaway,1986,"Adventure,Biography,Drama"
Drowning by Numbers (1988),Drowning by Numbers,Drowning by Numbers,1988,"Comedy,Drama"
Empire of the Sun (1987),Empire of the Sun,Empire of the Sun,1987,"Action,Drama,History"
Fatal Attraction (1987),Fatal Attraction,Fatal Attraction,1987,"Drama,Thriller"
Hope and Glory (1987),Hope and Glory,Hope and Glory,1987,"Comedy,Drama,Romance"
I've Heard the Mermaids Singing (1987),I've Heard the Mermaids Singing,I've Heard the Mermaids Singing,1987,"Comedy,Drama"
Last Emperor (The) (1987),Last Emperor,The Last Emperor,1987,"Biography,Drama,History"
Law of Desire (The) (1987),Law of Desire,Law of Desire,1987,"Comedy,Drama,Thriller"
Living Daylights (The) (1987),Living Daylights,The Living Daylights,1987,"Action,Adventure,Thriller"
Maurice (1987),Maurice,Maurice,1987,"Drama,Romance"
Moonstruck (1987),Moonstruck,Moonstruck,1987,"Comedy,Drama,Romance"
Dark Eyes (1987),Dark Eyes,Dark Eyes,1987,"Comedy,Drama,Romance"
Radio Days (1987),Radio Days,Radio Days,1987,Comedy
Roxanne (1987),Roxanne,Roxanne,1987,"Comedy,Romance"
Running Man (The) (1987),Running Man,The Running Man,1987,"Action,Sci-Fi,Thriller"
Some Kind of Wonderful (1987),Some Kind of Wonderful,Some Kind of Wonderful,1987,"Drama,Romance"
Untouchables (The) (1987),Untouchables,The Untouchables,1987,"Crime,Drama,Thriller"
Wall Street (1987),Wall Street,Wall Street,1987,"Crime,Drama"
White Mischief (1987),White Mischief,White Mischief,1987,"Crime,Drama,Mystery"
Who's That Girl (1987),Who's That Girl,Who's That Girl,1987,"Comedy,Music,Romance"
Witches of Eastwick (The) (1987),Witches of Eastwick,The Witches of Eastwick,1987,"Comedy,Fantasy,Horror"
Withnail & I (1987),Withnail & I,Withnail & I,1987,"Comedy,Drama"
Action Jackson (1988),Action Jackson,Action Jackson,1988,"Action,Comedy,Crime"
Another Woman (1988),Another Woman,Another Woman,1988,Drama
Beaches (1988),Beaches,Beaches,1988,"Comedy,Drama,Music"
Beetlejuice (1988),Beetlejuice,Beetlejuice,1988,"Comedy,Fantasy"
"Bright Lights, Big City (1988)","Bright Lights, Big City","Bright Lights, Big City",1988,Drama
Crossing Delancey (1988),Crossing Delancey,Crossing Delancey,1988,"Comedy,Romance"
Dangerous Liaisons (1988),Dangerous Liaisons,Dangerous Liaisons,1988,"Drama,Romance"
Die Hard (1988),Die Hard,Die Hard,1988,"Action,Thriller"
Funny Farm (1988),Funny Farm,Funny Farm,1988,Comedy
High Season (1987),High Season,High Season,1987,"Comedy,Romance"
Hot to Trot (1988),Hot to Trot,Hot to Trot,1988,"Comedy,Fantasy"
Moon Over Parador (1988),Moon Over Parador,Moon Over Parador,1988,"Comedy,Romance"
Scrooged (1988),Scrooged,Scrooged,1988,"Comedy,Drama,Fantasy"
Serpent and the Rainbow (The) (1988),Serpent and the Rainbow,The Serpent and the Rainbow,1988,"Fantasy,Horror"
Stealing Home (1988),Stealing Home,Stealing Home,1988,"Drama,Romance,Sport"
Unbearable Lightness of Being (1988),Unbearable Lightness of Being,The Unbearable Lightness of Being,1988,"Drama,Romance"
Who Framed Roger Rabbit (1988),Who Framed Roger Rabbit,Who Framed Roger Rabbit,1988,"Adventure,Animation,Comedy"
Torrents of Spring (1989),Torrents of Spring,Torrents of Spring,1989,"Drama,Romance"
Batman (1989),Batman,Batman,1989,"Action,Adventure"
Driving Miss Daisy (1989),Driving Miss Daisy,Driving Miss Daisy,1989,Drama
Getting It Right (1989),Getting It Right,Getting It Right,1989,"Comedy,Drama,Romance"
Gross Anatomy (1989),Gross Anatomy,Gross Anatomy,1989,Drama
Harlem Nights (1989),Harlem Nights,Harlem Nights,1989,"Comedy,Crime,Drama"
Henry V (1989),Henry V,Henry V,1989,"Action,Biography,Drama"
How to Get Ahead in Advertising (1989),How to Get Ahead in Advertising,How to Get Ahead in Advertising,1989,"Comedy,Fantasy"
Jesus of Montreal (1989),Jesus of Montreal,Jesus of Montreal,1989,Drama
My Left Foot (1989),My Left Foot,My Left Foot,1989,"Biography,Drama"
New York Stories (1989),New York Stories,New York Stories,1989,"Comedy,Drama,Romance"
Steel Magnolias (1989),Steel Magnolias,Steel Magnolias,1989,"Comedy,Drama,Romance"
Turner & Hooch (1989),Turner & Hooch,Turner & Hooch,1989,"Comedy,Crime,Drama"
Valmont (1989),Valmont,Valmont,1989,"Drama,Romance"
When Harry Met Sally... (1989),When Harry Met Sally...,When Harry Met Sally...,1989,"Comedy,Drama,Romance"
Three Men and a Little Lady (1990),Three Men and a Little Lady,Three Men and a Little Lady,1990,"Comedy,Drama,Family"
Awakenings (1990),Awakenings,Awakenings,1990,"Biography,Drama"
Backstreet Dreams (1990),Backstreet Dreams,Backstreet Dreams,1990,"Crime,Drama,Romance"
Bird on a Wire (1990),Bird on a Wire,Bird on a Wire,1990,"Action,Comedy"
Bonfire of the Vanities (1990),Bonfire of the Vanities,The Bonfire of the Vanities,1990,"Comedy,Drama,Romance"
Come See the Paradise (1990),Come See the Paradise,Come See the Paradise,1990,"Drama,Romance,War"
Darkman (1990),Darkman,Darkman,1990,"Action,Sci-Fi,Thriller"
Die Hard 2 (1990),Die Hard 2,Die Hard 2,1990,"Action,Thriller"
Exorcist III (The) (1990),Exorcist III,The Exorcist III,1990,"Drama,Horror,Mystery"
Green Card (1990),Green Card,Green Card,1990,"Comedy,Drama,Romance"
Heaven and Earth (1990),Heaven and Earth,Heaven and Earth,1990,"Action,Adventure,Drama"
Henry & June (1990),Henry & June,Henry & June,1990,"Biography,Drama"
Hunt for Red October (The) (1990),Hunt for Red October,The Hunt for Red October,1990,"Action,Adventure,Thriller"
Joe Versus the Volcano (1990),Joe Versus the Volcano,Joe Versus the Volcano,1990,"Comedy,Romance"
King of New York (1990),King of New York,King of New York,1990,"Crime,Thriller"
Look Who's Talking Too (1990),Look Who's Talking Too,Look Who's Talking Too,1990,"Comedy,Family,Romance"
Memphis Belle (1990),Memphis Belle,Memphis Belle,1990,"Action,Drama,War"
Misery (1990),Misery,Misery,1990,"Drama,Thriller"
Navy Seals (1990),Navy Seals,Navy Seals,1990,"Action,Adventure,Thriller"
Nightbreed (1990),Nightbreed,Nightbreed,1990,"Action,Fantasy,Horror"
Pacific Heights (1990),Pacific Heights,Pacific Heights,1990,Thriller
Pretty Woman (1990),Pretty Woman,Pretty Woman,1990,"Comedy,Romance"
Till There Was You (1991),Till There Was You,Till There Was You,1991,"Adventure,Drama,Mystery"
Total Recall (1990),Total Recall,Total Recall,1990,"Action,Sci-Fi,Thriller"
White Room (1990),White Room,White Room,1990,Drama
Wild at Heart (1990),Wild at Heart,Wild at Heart,1990,"Comedy,Crime,Drama"
Billy Bathgate (1991),Billy Bathgate,Billy Bathgate,1991,"Crime,Drama,Thriller"
Cape Fear (1991),Cape Fear,Cape Fear,1991,"Crime,Thriller"
Dead Again (1991),Dead Again,Dead Again,1991,"Crime,Drama,Mystery"
Delirious (1991),Delirious,Delirious,1991,"Comedy,Fantasy"
Doc Hollywood (1991),Doc Hollywood,Doc Hollywood,1991,"Comedy,Drama,Romance"
Doors (The) (1991),Doors,The Doors,1991,"Biography,Drama,Music"
Father of the Bride (1991),Father of the Bride,Father of the Bride,1991,"Comedy,Family,Romance"
Fisher King (The) (1991),Fisher King,The Fisher King,1991,"Comedy,Drama,Fantasy"
Frankie and Johnny (1991),Frankie and Johnny,Frankie and Johnny,1991,"Comedy,Drama,Romance"
If Looks Could Kill (1991),If Looks Could Kill,If Looks Could Kill,1991,"Action,Comedy"
JFK (1991),JFK,JFK,1991,"Drama,History,Thriller"
L.A. Story (1991),L.A. Story,L.A. Story,1991,"Comedy,Drama,Fantasy"
Last Dance (The) (1992),Last Dance,Last Dance,1992,Thriller
Little Man Tate (1991),Little Man Tate,Little Man Tate,1991,Drama
Love Potion No. 9 (1992),Love Potion No. 9,Love Potion No. 9,1992,"Comedy,Fantasy,Romance"
Marrying Man (The) (1991),Marrying Man,The Marrying Man,1991,"Comedy,Music,Romance"
Meeting Venus (1991),Meeting Venus,Meeting Venus,1991,"Comedy,Drama,Romance"
Not Without My Daughter (1991),Not Without My Daughter,Not Without My Daughter,1991,"Drama,Thriller"
Once Around (1991),Once Around,Once Around,1991,"Comedy,Drama,Romance"
Oscar (1991),Oscar,Oscar,1991,"Comedy,Crime"
Queens Logic (1991),Queens Logic,Queens Logic,1991,"Comedy,Drama"
Regarding Henry (1991),Regarding Henry,Regarding Henry,1991,"Drama,Romance"
Rocketeer (The) (1991),Rocketeer,The Rocketeer,1991,"Action,Adventure,Family"
Scorchers (1991),Scorchers,Scorchers,1991,"Comedy,Drama"
Silence of the Lambs (The) (1991),Silence of the Lambs,The Silence of the Lambs,1991,"Crime,Drama,Thriller"
Sleeping with the Enemy (1991),Sleeping with the Enemy,Sleeping with the Enemy,1991,"Drama,Thriller"
Soapdish (1991),Soapdish,Soapdish,1991,"Comedy,Romance"
V.I. Warshawski (1991),V.I. Warshawski,V.I. Warshawski,1991,"Action,Comedy,Crime"
Where Angels Fear to Tread (1991),Where Angels Fear to Tread,Where Angels Fear to Tread,1991,"Drama,Romance"
White Palace (1990),White Palace,White Palace,1990,"Drama,Romance"
Year of the Gun (1991),Year of the Gun,Year of the Gun,1991,"Action,Romance,Thriller"
Boomerang (1992),Boomerang,Boomerang,1992,"Comedy,Drama,Romance"
Consenting Adults (1992),Consenting Adults,Consenting Adults,1992,"Crime,Drama,Mystery"
Cutting Edge (The) (1992),Cutting Edge,The Cutting Edge,1992,"Comedy,Drama,Romance"
Death Becomes Her (1992),Death Becomes Her,Death Becomes Her,1992,"Comedy,Fantasy,Horror"
Distinguished Gentleman (The) (1992),Distinguished Gentleman,The Distinguished Gentleman,1992,"Comedy,Crime"
Far and Away (1992),Far and Away,Far and Away,1992,"Adventure,Drama,Romance"
Hellraiser III: Hell on Earth (1992),Hellraiser III: Hell on Earth,Hellraiser III: Hell on Earth,1992,Horror
Howards End (1992),Howards End,Howards End,1992,"Drama,Romance"
Lorenzo's Oil (1992),Lorenzo's Oil,Lorenzo's Oil,1992,"Biography,Drama"
Man Trouble (1992),Man Trouble,Man Trouble,1992,"Comedy,Romance"
Map of the Human Heart (1992),Map of the Human Heart,Map of the Human Heart,1992,"Adventure,Drama,Romance"
